Identifikationsnummer,Erstellt,UTC-Offset,Status,Betrag,Währung,Übernommene Gebühren - Betrag,Übernommene Gebühren - Währung,Umgerechneter Betrag,Umgerechnete Währung,Touchpoint-Name,ID der Touchpoint-Lösung,Art der Touchpoint-Lösung,Zahlungsmethode,Zahlungsanbieter,Nettobetrag,Auszahlungswährung,Bezahlvorgang,Spendenzweck-ID,Spendenzweck,Übernommene Gebühren,Gebühr,Währung der Gebühr,Kampagnen-ID,Sub ID,Kreditor-Referenz,QR-Referenz,Sprache,Anrede,Name,Vorname,Nachname,Geburtsdatum,E-Mail-Adresse,E-Mail-Erlaubnis,Adresse,Strasse,Nummer,Adresszusatz,Postleitzahl,Ort,Land,Spendenbescheinigung,Spendenbescheinigungs-URL,Kommentar,Abonnement-Identifikationsnummer,Übertragungskennung des Acquirers,Transaktionskennung des Zahlungsabgleichs,End-to-End-Identifikationsnummer,Referenznummer,Konto-Identifikationsnummer
d2350b3a-0d48-4d8a-ac97-bfca4947056c,13/09/2026 10:32:06,+02:00,succeeded,93.00,CHF,0.00,CHF,,,SCS Twint JB,f20f5815-bf65-469e-ae16-dae8875894c4,twint_qr_payments,twint,twint,90.67,CHF,touchpoint_solution,,,,2.33,CHF,,,,,de,ms,,Anna,Muster,,,,,,,,,,,,,,,,,,,0a49a1d9-7254-443e-a326-d0d36cecce8e
8a93578f-8d1d-4d05-876d-73c8ecdeddb5,01/09/2026 17:01:01,+02:00,succeeded,93.00,CHF,0.00,CHF,,,SCS Twint JB,f20f5815-bf65-469e-ae16-dae8875894c4,twint_qr_payments,twint,twint,90.67,CHF,touchpoint_solution,,,,2.33,CHF,,,,,de,mr,,Max,Beispiel,,,,,,,,,,,,,,,,,,,0a49a1d9-7254-443e-a326-d0d36cecce8e
d9fc0ae2-8c33-4f07-87a2-51f9f8b2ddda,29/08/2026 09:47:01,+02:00,succeeded,465.00,CHF,0.00,CHF,,,SCS Twint JB,f20f5815-bf65-469e-ae16-dae8875894c4,twint_qr_payments,twint,twint,453.37,CHF,touchpoint_solution,,,,11.63,CHF,,,,,de,ms,,Carla,Muster-Beispiel,,,,,,,,,,,,,,,,,,,0a49a1d9-7254-443e-a326-d0d36cecce8e
5f9230e1-fd27-4fd4-8777-d06f6d051477,28/08/2026 17:18:10,+02:00,succeeded,16.00,CHF,0.00,CHF,,,SCS Twint JB,f20f5815-bf65-469e-ae16-dae8875894c4,twint_qr_payments,twint,twint,15.60,CHF,touchpoint_solution,,,,0.40,CHF,,,,,de,mr,,Max,Beispiel,,,,,,,,,,,,,,,,,,,0a49a1d9-7254-443e-a326-d0d36cecce8e
e601e36e-1bba-4a7a-be68-0381d85fabc8,26/08/2026 11:24:15,+02:00,succeeded,151.96,CHF,0.00,CHF,,,SCS Twint JB,f20f5815-bf65-469e-ae16-dae8875894c4,twint_qr_payments,twint,twint,148.16,CHF,touchpoint_solution,,,,3.80,CHF,,,,,de,mr,,Max,Beispiel,,,,,,,,,,,,,,,,,,,0a49a1d9-7254-443e-a326-d0d36cecce8e
e679bbb8-5ce5-40fb-9e4f-798540d65101,27/06/2026 17:42:16,+02:00,succeeded,5.00,CHF,0.00,CHF,,,Seeclub Stäfa Bootshaus,31b6c107-e06d-4b1f-ad64-0b85ebf4cc1d,twint_qr_donations,twint,twint,4.87,CHF,touchpoint_solution,,,FALSE,0.13,CHF,,,,,de,,,,,,,,,,,,,,,,,,,,,,,0a49a1d9-7254-443e-a326-d0d36cecce8e
f6d5f639-25ef-4264-ab19-79db233a234e,27/06/2026 08:41:21,+02:00,succeeded,2.56,CHF,0.06,CHF,,,Seeclub Stäfa Bootshaus,31b6c107-e06d-4b1f-ad64-0b85ebf4cc1d,twint_qr_donations,twint,twint,2.50,CHF,touchpoint_solution,,,TRUE,0.06,CHF,,,,,de,,,,,,,,,,,,,,,,,,,,,,,0a49a1d9-7254-443e-a326-d0d36cecce8e
416a903f-1be0-4158-a168-2a6014db1c71,24/05/2026 08:55:59,+02:00,succeeded,20.00,CHF,0.00,CHF,,,Seeclub Stäfa Bootshaus,31b6c107-e06d-4b1f-ad64-0b85ebf4cc1d,twint_qr_donations,twint,twint,19.50,CHF,touchpoint_solution,,,FALSE,0.50,CHF,,,,,de,,,Ruderclub,Musterstadt,,,,,,,,,,,,,,,,,,,0a49a1d9-7254-443e-a326-d0d36cecce8e
14f327e4-d2f5-4db4-8897-3ab31a99b2f5,20/03/2026 20:38:56,+01:00,succeeded,20.00,CHF,0.00,CHF,,,SCS Twint JB,f20f5815-bf65-469e-ae16-dae8875894c4,twint_qr_payments,twint,twint,19.50,CHF,touchpoint_solution,,,,0.50,CHF,,,,,de,,,Heinz,Muster,,,,,,,,,,,,,,,,,,,0a49a1d9-7254-443e-a326-d0d36cecce8e
dc1d5c46-d703-45de-835b-9aec46f69620,20/03/2026 19:15:02,+01:00,succeeded,10.00,CHF,0.00,CHF,,,SCS Twint JB,f20f5815-bf65-469e-ae16-dae8875894c4,twint_qr_payments,twint,twint,9.75,CHF,touchpoint_solution,,,,0.25,CHF,,,,,en,,,Kim,Muster,,,,,,,,,,,,,,,,,,,0a49a1d9-7254-443e-a326-d0d36cecce8e
