Buchungsdatum,Valutadatum,Auftragsnummer,Konto,Kontoalias,IBAN,Buchungstext,Gutschrift,Belastung,Saldo
15.09.2026,15.09.2026,90581165385263,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,Zahlungsauftrag Muster Max,,CHF --10'000.00,CHF 4'222.55
14.09.2026,14.09.2026,90564180714850,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,Gutschrift 123.456.78.901,CHF 10'000.00,,CHF 14'222.55
03.09.2026,03.09.2026,90468831780573,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,Zahlungsauftrag Muster Max,,CHF --20'000.00,CHF 4'222.55
02.09.2026,02.09.2026,90468774477795,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,Gutschrift 123.456.78.901,CHF 14'000.00,,CHF 24'222.55
03.06.2026,03.06.2026,89688529713464,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,Zahlungsauftrag Muster Max,,CHF --10'000.00,CHF 10'222.55
06.05.2026,06.05.2026,89445161335466,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,Zahlungsauftrag Muster Max,,CHF --7'258.00,CHF 20'222.55
20.03.2026,20.03.2026,89032266732142,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,Zahlungsauftrag Muster Max,,CHF --10'000.00,CHF 27'480.55
19.03.2026,19.03.2026,89032224323699,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,Gutschrift 123.456.78.901,CHF 26'625.35,,CHF 37'480.55
30.01.2026,31.01.2026,88611866968037,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,GebÃ¼hr Bankpaket,,CHF --18.00,CHF 10'855.20
27.01.2026,27.01.2026,88581542515609,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,Zahlungsauftrag Muster Max,,CHF --20'000.00,CHF 10'873.20
26.01.2026,26.01.2026,88581507297963,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,Gutschrift 123.456.78.901,CHF 20'000.00,,CHF 30'873.20
05.01.2026,05.01.2026,88375939470668,Privatkonto,Privatkonto,CH93 0076 2011 6238 5295 7,VergÃ¼tung Muster Max,,CHF --6.65,CHF 10'873.20
