DATE;ACTIVITY TYPE;ACTIVITY NAME;DEBIT;DEBIT CURRENCY;CREDIT;CREDIT CURRENCY;CARD NUMBER;LOCALITY;RECIPIENT;SENDER;FEES/COMMISSION;BUY/SELL;QUANTITY;ASSET;PRICE PER UNIT
15/03/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
20/03/2025;PAYMENT_TRANSACTION_IN;"""Überweisung von Muster, Max""";;;3.73;CHF;;;;"""Muster, Max""";0;;;;
21/03/2025;PAYMENT_TRANSACTION_IN;"""Überweisung von Muster, Max""";;;6720.36;CHF;;;;"""Muster, Max""";0;;;;
25/03/2025;CARD_TRANSACTION_OUT;"""PAYPAL *COLORNDRIVE""";-79.83;CHF;;;**** 0000;"""15147220949, DE""";"""PAYPAL *COLORNDRIVE""";;0.0;;;;
27/03/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
28/03/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an Seeclub Stafa""";-472.00;CHF;;;;;"""Seeclub Stafa""";;0;;;;
09/04/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an Abura AG""";-36.00;CHF;;;;;"""Abura AG""";;0;;;;
13/04/2025;CARD_TRANSACTION_OUT;"""Zattoo""";-140.00;CHF;;;**** 0000;"""Zürich, CH""";"""Zattoo""";;0.0;;;;
13/04/2025;PAYMENT_TRANSACTION_OUT;"""Twint an MUSTER DIETER""";-50.00;CHF;;;;;"""MUSTER DIETER""";;0;;;;
14/04/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an Bratschi Ltd, Zurich""";-1628.82;CHF;;;;;"""Bratschi Ltd, Zurich""";;0;;;;
14/04/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an grunliberale Partei Bezirk Meilen""";-190.00;CHF;;;;;"""grunliberale Partei Bezirk Meilen""";;0;;;;
15/04/2025;CARD_TRANSACTION_OUT;"""Netflix""";-27.90;CHF;;;**** 0000;"""866-579-7172, NL""";"""Netflix""";;0.0;;;;
15/04/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
