"Datum";"Buchungstext";"Konto";"Whg";"Belastung";"Gutschrift"
"31.12.2025";"Belastungen Mobile Banking (2) Krankenkasse SLKK, Hofwiesenstrasse 370, 8050 Zürich, CH";"CH98 0070 0112 9000 6934 5";"CHF";"5852.05";""
"31.12.2025";"Belastungen Mobile Banking (2) Krankenkasse SLKK, Hofwiesenstrasse 370, 8050 Zürich, CH";"CH98 0070 0112 9000 6934 5";"CHF";"6007.70";""
"31.12.2025";"Gutschrift Auftraggeber: Muster A. und/oder Muster B., Rainstrasse 1 Muster A. und/oder Muster B., Rainstrasse 1, 8712 Staefa, CH";"CH98 0070 0112 9000 6934 5";"CHF";"";"3000.00"
"31.12.2025";"Belastung Dauerauftrag: Muster Anna u/o Muster Beat Muster Anna u/o Muster Beat, Rainstrasse 1, 8712 Stäfa, CH";"CH98 0070 0112 9000 6934 5";"CHF";"200.00";""
"30.12.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, Coop-1361 Sedrun 0718";"CH98 0070 0112 9000 6934 5";"CHF";"3.10";""
"28.12.2025";"Belastung TWINT: MUSTER, CARLA +41760000000";"CH98 0070 0112 9000 6934 5";"CHF";"45.00";""
"24.12.2025";"Gutschrift TWINT: MUSTER, DANIEL +41790000000";"CH98 0070 0112 9000 6934 5";"CHF";"";"6.00"
"19.12.2025";"Belastung aus Lastschrift mit Widerspruch: CORNERCARD SWITZERLAND, VIA CORNERCARD SWITZERLAND, VIA CANOVA, 16 6900 LUGANO CH";"CH98 0070 0112 9000 6934 5";"CHF";"302.90";""
"18.12.2025";"Online-Einkauf ZKB Visa Debit Card Nr. xxxx 6267, Odlo Outlet";"CH98 0070 0112 9000 6934 5";"CHF";"103.75";""
"15.12.2025";"Gutschrift Salär: Spitex Stafa, Seestrasse 23, 8712 Stafa, CH Spitex Stafa, Seestrasse 23, 8712 Stafa, CH";"CH98 0070 0112 9000 6934 5";"CHF";"";"149.45"
"05.12.2025";"Belastung eBill: Swisscom (Schweiz) AG, Alte Tiefenaustrasse 6, 3050 Swisscom (Schweiz) AG, Alte Tiefenaustrasse 6, 3050 Bern, CH";"CH98 0070 0112 9000 6934 5";"CHF";"33.90";""
"02.10.2025";"Miete ZKB Schrankfach Periode vom 01.07.2025 bis 30.09.2025";"CH98 0070 0112 9000 6934 5";"CHF";"32.45";""
"19.07.2025";"Rückerstattung ZKB Visa Debit Card Nr. xxxx 0688, Marc OPolo Store";"CH98 0070 0112 9000 6934 5";"CHF";"";"69.90"
"11.06.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, APRR 21850 21850, FR, EUR";"CH98 0070 0112 9000 6934 5";"CHF";"19.54";""
"11.06.2025";"Belastung eBanking Mobile: 4row GmbH, Kronenwis 19, 8864 Reichenburg 4row GmbH, Kronenwis 19, 8864 Reichenburg";"CH98 0070 0112 9000 6934 5";"CHF";"114.50";""
"07.11.2025";"Gutschrift Rente: SVA ZÜRICH, Röntgenstrasse 17, 8005 Zürich, CH SVA ZÜRICH, Röntgenstrasse 17, 8005 Zürich, CH";"CH98 0070 0112 9000 6934 5";"CHF";"";"2591.00"
"11.10.2025";"Bezug ZKB Visa Debit Card Nr. xxxx 6267, Cape Town Airport Groun 00000";"CH98 0070 0112 9000 6934 5";"CHF";"196.93";""
"01.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Foreign Row";"CH11 0070 0112 9000 0000 0";"CHF";"1.00";""
